"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Enhancing code generation performance of smaller models by distilling the reasoning ability of llms","https://scispace.com/paper/enhancing-code-generation-performance-of-smaller-models-by-4552x5e4cp","2024","Journal Article","arXiv.org","Zhihong Sun
Chen Lyu
Bolun Li
Yao Wan
Hongyu Zhang
Ge Li
Zhi Jin","10.48550/arxiv.2403.13271","https://arxiv.org/pdf/2403.13271","… capabilities to smaller models through distillation. We adopt a … To the best of our knowledge, this study is the first … four copies of code that do not pass the unit test, while CodeT5 with our …","Large Language Models (LLMs) have recently made significant advances in code generation through the 'Chain-of-Thought' prompting technique. This technique empowers the model to autonomously devise""solution plans""to tackle intricate programming challenges, thereby improving its performance in code generation. Nevertheless, smaller models have been struggling to keep up with LLMs in deducing these plans, adversely affecting their code generation capabilities. Given the considerable size and associated deployment costs, along with concerns about data security, many teams opt for deploying smaller models for code generation. Consequently, there arises a compelling need for transferring LLMs' code generation reasoning abilities to the smaller models. In this paper, we propose the CodePLAN framework, which aims to transfer LLMs' reasoning capabilities to smaller models through distillation. We adopt a multi-task learning approach, jointly undertaking code generation and solution plan generation tasks, to enhance the code generation capabilities of the smaller model. To ensure the superior quality of the solution plans, we advocate for the utilization of backward reasoning and plan sampling strategies. Our experiments show that in comparison to the conventional fine-tuning approach, our approach improves the smaller model's code generation performance (measured in pass@1 metric) by over 130% on the challenging APPS benchmark."
"Test suite optimization using machine learning techniques: A comprehensive study","https://scispace.com/paper/test-suite-optimization-using-machine-learning-techniques-a-2l3lkuhpymgy","2024","Journal Article","IEEE Access","Abid Mehmood
Qazi Mudassar Ilyas
Muneer Ahmad
Zhongliang Shi","10.1109/access.2024.3490453","https://ieeexplore.ieee.org/iel8/6287639/6514899/10741285.pdf","… tools for automating aspects of test case generation and … , evaluating, and synthesizing existing research literature on a … ensemble classifier to identify test cases with the same code …","Software testing is an essential yet costly phase of the software development lifecycle. While machine learning-based test suite optimization techniques have shown promise in reducing testing costs and improving fault detection, a comprehensive evaluation of their effectiveness across different environments is still lacking. This paper reviews 43 studies published between 2018 and 2023, covering various test case selection, prioritization, and reduction techniques using machine learning. The findings reveal that conventional machine learning techniques, particularly supervised learning methods, have been widely adopted for test case prioritization and selection. Recent advancements, such as deep learning and hybrid models, show potential in improving fault detection rates and scalability, though challenges remain in adapting these techniques to large-scale and dynamic environments. Additionally, Generative AI and large language models (LLMs) are emerging as promising tools for automating aspects of test case generation and prioritization, offering new avenues for future research in enhancing test suite optimization. The study identifies recent trends, challenges, and opportunities for further research, with a focus on both conventional and emerging methods, including deep learning, hybrid approaches, and Generative AI models. By systematically analyzing these techniques, this work contributes to the understanding of how machine learning and Generative AI can enhance test suite optimization and highlights future directions for improving the scalability and real-world applicability of these methods."
"Improving the learning of code review successive tasks with cross-task knowledge distillation","https://scispace.com/paper/improving-the-learning-of-code-review-successive-tasks-with-46qiohgphc","2024","Journal Article","arXiv.org","Oussama Ben Sghaier
Houari Sahraoui","10.48550/arxiv.2402.02063","https://dl.acm.org/doi/pdf/10.1145/3643775","… of code review tasks, specifically comment generation/code … of the resulting code refinement model on the test set and … for automatic evaluation of code synthesis. arXiv preprint arXiv…","Code review is a fundamental process in software development that plays a pivotal role in ensuring code quality and reducing the likelihood of errors and bugs. However, code review can be complex, subjective, and time-consuming. Quality estimation, comment generation, and code refinement constitute the three key tasks of this process, and their automation has traditionally been addressed separately in the literature using different approaches. In particular, recent efforts have focused on fine-tuning pre-trained language models to aid in code review tasks, with each task being considered in isolation. We believe that these tasks are interconnected, and their fine-tuning should consider this interconnection. In this paper, we introduce a novel deep-learning architecture, named DISCOREV, which employs cross-task knowledge distillation to address these tasks simultaneously. In our approach, we utilize a cascade of models to enhance both comment generation and code refinement models. The fine-tuning of the comment generation model is guided by the code refinement model, while the fine-tuning of the code refinement model is guided by the quality estimation model. We implement this guidance using two strategies: a feedback-based learning objective and an embedding alignment objective. We evaluate DISCOREV by comparing it to state-of-the-art methods based on independent training and fine-tuning. Our results show that our approach generates better review comments, as measured by the BLEU score, as well as more accurate code refinement according to the CodeBLEU score"
"Autocoderover: Autonomous program improvement","https://scispace.com/paper/autocoderover-autonomous-program-improvement-4rn0me1lkw","2024","Journal Article","arXiv.org","Yuntong Zhang
Haifeng Ruan
Zhiyu Fan
Abhik Roychoudhury","10.48550/arxiv.2404.05427","https://dl.acm.org/doi/pdf/10.1145/3650212.3680384","… that augments LLM with context knowledge from the code … lengthy code context that creates distraction during patch generation… translation models using ensemble for program repair., In …","Researchers have made significant progress in automating the software development process in the past decades. Recent progress in Large Language Models (LLMs) has significantly impacted the development process, where developers can use LLM-based programming assistants to achieve automated coding. Nevertheless software engineering involves the process of program improvement apart from coding, specifically to enable software maintenance (e.g. bug fixing) and software evolution (e.g. feature additions). In this paper, we propose an automated approach for solving GitHub issues to autonomously achieve program improvement. In our approach called AutoCodeRover, LLMs are combined with sophisticated code search capabilities, ultimately leading to a program modification or patch. In contrast to recent LLM agent approaches from AI researchers and practitioners, our outlook is more software engineering oriented. We work on a program representation (abstract syntax tree) as opposed to viewing a software project as a mere collection of files. Our code search exploits the program structure in the form of classes/methods to enhance LLM's understanding of the issue's root cause, and effectively retrieve a context via iterative search. The use of spectrum based fault localization using tests, further sharpens the context, as long as a test-suite is available. Experiments on SWE-bench-lite which consists of 300 real-life GitHub issues show increased efficacy in solving GitHub issues (22-23% on SWE-bench-lite). On the full SWE-bench consisting of 2294 GitHub issues, AutoCodeRover solved around 16% of issues, which is higher than the efficacy of the recently reported AI software engineer Devin from Cognition Labs, while taking time comparable to Devin. We posit that our workflow enables autonomous software engineering, where, in future, auto-generated code from LLMs can be autonomously improved."
"SWT-bench: Testing and validating real-world bug-fixes with code agents","https://scispace.com/paper/RetoVDQoT64J","","","","N Mündler
M Müller
J He","","https://proceedings.neurips.cc/paper_files/paper/2024/file/94f093b41fc2666376fb1f667fe282f3-Paper-Conference.pdf","… between the different approaches, with an ideal ensemble of … We propose to adapt Code Agents to the task of test generation … without knowledge of the golden code patch, generation …",""
"AMR-evol: Adaptive modular response evolution elicits better knowledge distillation for large language models in code generation","https://scispace.com/paper/amr-evol-adaptive-modular-response-evolution-elicits-better-4mjcjb98etxp","2024","Journal Article","","Ziyang Luo
Xin Li
Hongzhan Lin
Jing Ma
Li Bing","10.48550/arxiv.2410.00558","https://arxiv.org/pdf/2410.00558?","… -context examples, aiding the adaptive refinement of responses… Upon completing the data synthesis process with the help of … to the Code Evol-Instruct to iteratively synthesize a spectrum …","The impressive performance of proprietary LLMs like GPT4 in code generation has led to a trend to replicate these capabilities in open-source models through knowledge distillation (e.g. Code Evol-Instruct). However, these efforts often neglect the crucial aspect of response quality, relying heavily on teacher models for direct response distillation. This paradigm, especially for complex instructions, can degrade the quality of synthesized data, compromising the knowledge distillation process. To this end, our study introduces the Adaptive Modular Response Evolution (AMR-Evol) framework, which employs a two-stage process to refine response distillation. The first stage, modular decomposition, breaks down the direct response into more manageable sub-modules. The second stage, adaptive response evolution, automatically evolves the response with the related function modules. Our experiments with three popular code benchmarks—HumanEval, MBPP, and EvalPlus—attests to the superiority of the AMR-Evol framework over baseline response distillation methods. By comparing with the open-source Code LLMs trained on a similar scale of data, we observed performance enhancements: more than +3.0 points on HumanEval-Plus and +1.0 points on MBPP-Plus, which underscores the effectiveness of our framework. Our codes are available at https://github.com/ChiYeungLaw/AMR-Evol."
"The integration of machine learning into automated test generation: A systematic mapping study","https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-1a04w6sf","2022","Journal Article","Software Testing, Verification & Reliability","Afonso Fontes
Gregory Gay","10.1002/stvr.1845","https://onlinelibrary.wiley.com/doi/pdf/10.1002/stvr.1845","… , but this requires advanced knowledge and is still based on … a generation process with ML by collecting and synthesizing … using an ensemble of methods—using source code metrics, …","Machine learning (ML) may enable effective automated test generation. We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges in this intersection by performing. We perform a systematic mapping study on a sample of 124 publications. ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property‐based, and expected output oracles. Supervised learning—often based on neural networks—and reinforcement learning—often based on Q‐learning—are common, and some publications also employ unsupervised or semi‐supervised learning. (Semi‐/Un‐)Supervised approaches are evaluated using both traditional testing metrics and ML‐related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. The work‐to‐date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed—and how they are applied—benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field."
"Test-driven multi-task learning with functionally equivalent code transformation for neural code generation","https://scispace.com/paper/test-driven-multi-task-learning-with-functionally-equivalent-2a8qeyrs","2022","Proceedings Article","International Conference on Automated Software Engineering","Xin Wang
Xiao Xiao Liu
Pingyi Zhou
Qixia Liu
Jin Liu
Hao Wu
Xiao-bin Cui","10.1145/3551349.3559549","","… program analysis with deep learning for neural code generation, where functionally equivalent code … We will attempt to integrate neural networks with symbolic knowledge to improve …","Automated code generation is a longstanding challenge in both communities of software engineering and artificial intelligence. Currently, some works have started to investigate the functional correctness of code generation, where a code snippet is considered correct if it passes a set of test cases. However, most existing works still model code generation as text generation without considering program-specific information, such as functionally equivalent code snippets and test execution feedback. To address the above limitations, this paper proposes a method combining program analysis with deep learning for neural code generation, where functionally equivalent code snippets and test execution feedback will be considered at the training stage. Concretely, we firstly design several code transformation heuristics to produce different variants of the code snippet satisfying the same functionality. In addition, we employ the test execution feedback and design a test-driven discriminative task to train a novel discriminator, aiming to let the model distinguish whether the generated code is correct or not. The preliminary results on a newly published dataset demonstrate the effectiveness of our proposed framework for code generation. Particularly, in terms of the pass@1 metric, we achieve 8.81 and 11.53 gains compared with CodeGPT and CodeT5, respectively."
"Synthetic Knowledge Ingestion: Towards Knowledge Refinement and Injection for Enhancing Large Language Models","https://scispace.com/paper/synthetic-knowledge-ingestion-towards-knowledge-refinement-5hadwf5to9xr","2024","Proceedings Article","","Jiaxin Zhang
Wendi Cui
Yiran Huang
Kamalika Das
Sricharan Kumar","10.18653/v1/2024.emnlp-main.1196","https://arxiv.org/pdf/2410.09629","… leaved generation strategy that simultaneously generates … synthesizing expansive sets of questionanswer pairs utilizing … Similarly, we have the ensemble of QCA pairs from 1-gram to …",""
"Exedec: Execution decomposition for compositional generalization in neural program synthesis","https://scispace.com/paper/exedec-execution-decomposition-for-compositional-e2oitkr3zr","2023","Journal Article","arXiv.org","Kensen Shi
Joey Hong
Manzil Zaheer
Peng Yin
Charles Sutton","10.48550/arxiv.2307.13883","https://arxiv.org/pdf/2307.13883","… 2022), have been particularly successful at generating code … original I/O examples for the overall synthesis task, and we … the two decomposition variations in an ensemble to get the …","When writing programs, people have the ability to tackle a new complex task by decomposing it into smaller and more familiar subtasks. While it is difficult to measure whether neural program synthesis methods have similar capabilities, we can measure whether they compositionally generalize, that is, whether a model that has been trained on the simpler subtasks is subsequently able to solve more complex tasks. In this paper, we characterize several different forms of compositional generalization that are desirable in program synthesis, forming a meta-benchmark which we use to create generalization tasks for two popular datasets, RobustFill and DeepCoder. We then propose ExeDec, a novel decomposition-based synthesis strategy that predicts execution subgoals to solve problems step-by-step informed by program execution at each step. When used with Transformer models trained from scratch, ExeDec has better synthesis performance and greatly improved compositional generalization ability compared to baselines. Finally, we use our benchmarks to demonstrate that LLMs struggle to compositionally generalize when asked to do programming-by-example in a few-shot setting, but an ExeDec-style prompting approach can improve the generalization ability and overall performance."
