Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Repo2vec: A comprehensive embedding approach for determining repository similarity,"- **Relevance Score:** 23/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hierarchical clustering of repository embeddings for similarity, not test‑case deduplication; no transformer‑based code embeddings; compares to prior repo similarity methods; evaluates on real GitHub repos; lacks scalability, ablation, or clustering‑variant analysis.",https://scispace.com/paper/repo2vec-a-comprehensive-embedding-approach-for-determining-38rqi1lc0p,2021,Posted Content,arXiv: Software Engineering,"Omar Faruk Rokon
Pei Yan
Risul Islam
Michalis Faloutsos","",https://arxiv.org/pdf/2107.05112,"How can we identify similar repositories and clusters among a large online archive, such as GitHub? Determiningrepository similarity is an essential building block in studying the dynamics and the evolution of such software ecosystems. The key challenge is to determine the right representation for the diverse repository features in a way that: (a) it captures all aspects of the available information, and (b) it is readily usable by MLalgorithms. We propose Repo2Vec, a comprehensive embedding approach to represent a repository as a distributed vector by combining features from three types of information sources. As our key novelty, we consider three types of information: (a)metadata, (b) the structure of the repository, and (c) the source code. We also introduce a series of embedding approaches to represent and combine these information types into a single embedding. We evaluate our method with two real datasets from GitHub for a combined 1013 repositories. First, we show that our method outperforms previous methods in terms of precision (93%vs 78%), with nearly twice as many Strongly Similar repositories and 30% fewer False Positives. Second, we show how Repo2Vecprovides a solid basis for: (a) distinguishing between malware and benign repositories, and (b) identifying a meaningful hierarchical clustering. For example, we achieve 98% precision and 96%recall in distinguishing malware and benign repositories. Overall, our work is a fundamental building block for enabling many repository analysis functions such as repository categorization by target platform or intention, detecting code-reuse and clones, and identifying lineage and evolution."
Code Clone Detection: An Empirical Study of Techniques for Software Engineering Practice,"- **Relevance Score:** 21/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on code clone detection using CNN clustering, lacks transformer embeddings or DBSCAN/HDBSCAN; provides empirical comparison showing semantic methods beat syntactic baselines on real code datasets.",https://scispace.com/paper/inQFXkOIit4J,"","","","H Kaushik
KD Gupta","",https://www.researchgate.net/profile/Harshita-Kaushik-5/publication/390108258_Code_Clone_Detection_An_Empirical_Study_of_Techniques_for_Software_Engineering_Practice/links/67e044a7e62c604a0d0d7126/Code-Clone-Detection-An-Empirical-Study-of-Techniques-for-Software-Engineering-Practice.pdf,""
Identifying Similar Test Cases That Are Specified in Natural Language,"- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses SBERT/USE embeddings and hierarchical agglomerative clustering on natural‑language test steps; lacks code‑specific models, syntactic baseline comparison, and scalability analysis.",https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l,2023,Journal Article,IEEE Transactions on Software Engineering,"",10.1109/tse.2022.3170272,https://scispace.com/pdf/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l.pdf,"Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases (which consist of one or more test steps that need to be executed manually by the tester) are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and three techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 86.13%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant test cases), which help to reduce the testing manual effort and time. "
Identifying Similar Test Cases That Are Specified in Natural Language,"- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses SBERT/USE TF‑IDF to embed natural‑language test steps and applies hierarchical agglomerative clustering; lacks code‑specific embeddings, baseline comparisons, and detailed scalability or ablation analyses.",https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l,2023,Journal Article,IEEE Transactions on Software Engineering,"",10.1109/tse.2022.3170272,https://scispace.com/pdf/identifying-similar-test-cases-that-are-specified-in-natural-2kgjvq6l.pdf,"Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases (which consist of one or more test steps that need to be executed manually by the tester) are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and three techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 86.13%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant test cases), which help to reduce the testing manual effort and time. "
Identifying Similar Test Cases That Are Specified in Natural Language,"- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses generic text embeddings and multiple clustering methods to deduplicate natural‑language test cases; evaluates several embeddings and clustering options on an industrial test suite, but lacks code‑specific models, density‑based clustering, syntactic baseline comparison, and detailed scalability analysis.",https://scispace.com/paper/identifying-similar-test-cases-that-are-specified-in-natural-1s5y2p4uuy,2021,Posted Content,arXiv: Software Engineering,"Markos Viggiato
Dale Paas
Chris Buzon
Cor-Paul Bezemer","",https://hal.science/hal-03911555v1/file/Identifying%20Similar%20Test%20Cases%20That%20Are%20Specified%20in%20Natural%20Language.pdf,"Software testing is still a manual process in many industries, despite the recent improvements in automated testing techniques. As a result, test cases are often specified in natural language by different employees and many redundant test cases might exist in the test suite. This increases the (already high) cost of test execution. Manually identifying similar test cases is a time-consuming and error-prone task. Therefore, in this paper, we propose an unsupervised approach to identify similar test cases. Our approach uses a combination of text embedding, text similarity and clustering techniques to identify similar test cases. We evaluate five different text embedding techniques, two text similarity metrics, and two clustering techniques to cluster similar test steps and four techniques to identify similar test cases from the test step clusters. Through an evaluation in an industrial setting, we showed that our approach achieves a high performance to cluster test steps (an F-score of 87.39%) and identify similar test cases (an F-score of 83.47%). Furthermore, a validation with developers indicates several different practical usages of our approach (such as identifying redundant and legacy test cases), which help to reduce the testing manual effort and time."
DBSCAN-Based Automatic De-Duplication for Software Quality Inspection Data,"- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses DBSCAN for deduplication of inspection data; lacks code transformer embeddings and baseline comparisons; evaluates on proprietary data with modest runtime notes.",https://scispace.com/paper/dbscan-based-automatic-de-duplication-for-software-quality-266nac00,2023,Journal Article,IEEE Access,"",10.1109/access.2022.3164192,"","Software quality inspection will generate too much data, and removing duplicate data can improve the efficiency of software quality inspection. This paper studies the automatic de-duplication method of software quality inspection data based on density-based spatial clustering of applications with noise (DBSCAN) clustering. Intelligent optimization algorithm is used to generate software quality inspection data by initializing individuals, calculating fitness function value, improving individuals and splitting individuals that meet the conditions. Local linear embedding algorithm is selected to extract software quality inspection data features by searching neighborhood points, calculating reconstruction weight and projection vector. The extracted features are used to select DBSCAN multi-density clustering algorithm of regional division, and the automatic de-duplication of software quality inspection data is realized by grid division, data bin dividing and grid merging. The experimental results show that the precision and recall of this method are higher than 99%, and the resource consumption rate is low, which can effectively improve the efficiency of software quality inspection. "
"Structural invariants and semantic fingerprints in the ""ego network"" of words","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses BERT tweet embeddings and HDBSCAN clustering for topic detection, mirroring semantic‑clustering pipelines but lacks code embeddings, deduplication focus, syntactic baselines, and software‑engineering evaluation.",https://scispace.com/paper/structural-invariants-and-semantic-fingerprints-in-the-ego-1u84jzob,2022,Journal Article,"","",10.5281/zenodo.5932713,https://scispace.com/pdf/structural-invariants-and-semantic-fingerprints-in-the-ego-1u84jzob.pdf,""
Igor: Crash deduplication through root-cause clustering,"- **Relevance Score:** 18/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses CFG minimization and graph similarity to cluster crashes, outperforming coverage‑based baselines on 10 real programs; does not employ code transformer embeddings or density/hierarchical clustering.",https://scispace.com/paper/igor-crash-deduplication-through-root-cause-clustering-1mwpjc88xv,2021,Proceedings Article,Computer and Communications Security,"Zhiyuan Jiang
Xiyue Jiang
Ahmad Hazimeh
Chaojing Tang
Chao Zhang
Mathias Payer",10.1145/3460120.3485364,https://dl.acm.org/doi/pdf/10.1145/3460120.3485364,"Fuzzing has emerged as the most effective bug-finding technique. The output of a fuzzer is a set of proof-of-concept (PoC) test cases for all observed ""unique'' crashes. It costs developers substantial efforts to analyze each crashing test case. This, mostly manual, process has lead to the number of reported crashes out-pacing the number of bug fixes. Automatic crash deduplication techniques, which mostly rely on coverage profiles and stack hashes, are supposed to alleviate these pressures. However, these techniques both inflate actual bug counts and falsely conflate unrelated bugs. This hinders, rather than helps, developers, and calls for more accurate techniques. The highly-stochastic nature of fuzzing means that PoCs commonly exercise many program behaviors that are orthogonal to the crash's underlying root cause. This diversity in program behaviors manifests as a diversity in crashes, contributing to bug-count inflation and conflation. Based on this insight, we develop Igor, an automated dual-phase crash deduplication technique. By minimizing each PoC's execution trace, we obtain pruned test cases that exercise the critical behavior necessary for triggering a bug. Then, we use a graph similarity comparison to cluster crashes based on the control-flow graph of the minimized execution traces, with each cluster mapping back to a single, unique root cause. We evaluate Igor against 39 bugs resulting from 254,000 PoCs, distributed over 10 programs. Our results show that Igor accurately groups these crashes into 48 uniquely identifiable clusters, while other state-of-the-art methods yield bug counts at least one order of magnitude larger."
Mapping the Repository Landscape: Harnessing Similarity with RepoSim and RepoSnipy,"- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses UniXcoder embeddings for repository similarity search, but lacks clustering, deduplication focus, baseline comparisons, and detailed scalability or ablation analyses.",https://scispace.com/paper/mapping-the-repository-landscape-harnessing-similarity-with-c5jifn0uq9,2023,Journal Article,"","Zihao Li
Rosa Filgueira",10.1109/e-science58273.2023.10254873,"","The rapid growth of scientific software development has led to the emergence of large and complex codebases, making it challenging to search, find, and compare software repositories within the scientific research community. In this paper, we propose a solution by leveraging deep learning techniques to learn embeddings that capture semantic similarities among repositories. Our approach focuses on identifying repositories with similar semantics, even when their code fragments and documentation exhibit different syntax. To address this challenge, we introduce two complementary open-source tools: RepoSim and RepoSnipy. RepoSim is a command-line toolbox designed to represent repositories at both the source code and documentation levels. It utilizes the UniXcoder pre-trained language model, which has demonstrated remarkable performance in code-related understanding tasks. RepoSnipy is a web-based neural semantic search engine that utilizes the powerful capabilities of RepoSim and offers a user-friendly search interface, allowing researchers and practitioners to query public repositories hosted on GitHub and discover semantically similar repositories. RepoSim and RepoSnipy empower researchers, developers, and practitioners by facilitating the comparison and analysis of software repositories. They not only enable efficient collaboration and code reuse but also accelerate the development of scientific software. "
A Comparative Analysis of Clone Detection Techniques on SemanticCloneBench,"- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses CodeBERT for clone detection, but lacks clustering, deduplication, syntactic baseline comparison, and scalability analysis; benchmark evaluation provides limited relevance to SE datasets.",https://scispace.com/paper/a-comparative-analysis-of-clone-detection-techniques-on-29603kjo,2022,Proceedings Article,"","",10.1109/iwsc55060.2022.00011,"","Semantic code clone detection involves the detection of functionally similar code fragments which may otherwise be lexically, syntactically, or structurally dissimilar. The detection of semantic code clones has important applications in aspect mining and product line analysis. The accurate detection of semantic code clones is a challenging task and various techniques have been proposed. However, the evaluation of these techniques is performed using various datasets and we do not have a clear picture of the performance of these techniques relative to each other. Recently, SemanticCloneBench has been introduced as a benchmark for semantic clones. Now, we can use the SemanticCloneBench to effectively evaluate and compare the performance of semantic code clone detection techniques. In this paper, we compare the semantic code clone detection performance of three different code clone detection techniques namely FACER-CD, CodeBERT and NIL for Java code clones using SemanticCloneBench. FACER-CD performs API usage similarity-based clustering to detect clones, while CodeBERT is a deep-learning based approach which uses a pre-trained programming language model, and NIL is a token-based large-gapped code clones detector. FACER-CD, NIL, and CodeBERT show a recall of 64.3%, 12.7%, and 83.2% respectively on SemanticCloneBench. Using all three techniques together on the SemanticCloneBench dataset gives us an overall recall of 95.5% which is currently the best performance achieved on SemanticCloneBench. "
