"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Accurate Uncertainty Estimation and Decomposition in Ensemble Learning.","https://scispace.com/paper/accurate-uncertainty-estimation-and-decomposition-in-3u9fiw229i","2019","Posted Content","arXiv: Learning","Jeremiah Zhe Liu
John Paisley
Marianthi-Anna Kioumourtzoglou
Brent A. Coull","","https://arxiv.org/pdf/1911.04061.pdf","Ensemble learning is a standard approach to building machine learning systems that capture complex phenomena in real-world data. An important aspect of these systems is the complete and valid quantification of model uncertainty. We introduce a Bayesian nonparametric ensemble (BNE) approach that augments an existing ensemble model to account for different sources of model uncertainty. BNE augments a model's prediction and distribution functions using Bayesian nonparametric machinery. It has a theoretical guarantee in that it robustly estimates the uncertainty patterns in the data distribution, and can decompose its overall predictive uncertainty into distinct components that are due to different sources of noise and error. We show that our method achieves accurate uncertainty estimates under complex observational noise, and illustrate its real-world utility in terms of uncertainty decomposition and model bias detection for an ensemble in predict air pollution exposures in Eastern Massachusetts, USA.","A Bayesian nonparametric ensemble (BNE) approach that augments an existing ensemble model to account for different sources of model uncertainty, and shows its real-world utility in terms of uncertainty decomposition and model bias detection for an ensemble in predict air pollution exposures in Eastern Massachusetts, USA."
"Accurate Uncertainty Estimation and Decomposition in Ensemble Learning","https://scispace.com/paper/accurate-uncertainty-estimation-and-decomposition-in-8or35dqax2w4","","","","Jeremiah Zhe Liu
John Paisley
Marianthi-Anna Kioumourtzoglou
Brent A. Coull","10.48550/arxiv.1911.04061","","Ensemble learning is a standard approach to building machine learning systems that capture complex phenomena in real-world data. An important aspect of these systems is the complete and valid quantification of model uncertainty. We introduce a Bayesian nonparametric ensemble (BNE) approach that augments an existing ensemble model to account for different sources of model uncertainty. BNE augments a model's prediction and distribution functions using Bayesian nonparametric machinery. It has a theoretical guarantee in that it robustly estimates the uncertainty patterns in the data distribution, and can decompose its overall predictive uncertainty into distinct components that are due to different sources of noise and error. We show that our method achieves accurate uncertainty estimates under complex observational noise, and illustrate its real-world utility in terms of uncertainty decomposition and model bias detection for an ensemble in predict air pollution exposures in Eastern Massachusetts, USA.",""
"Ensemble learning methods for decision making: Status and future prospects","https://scispace.com/paper/ensemble-learning-methods-for-decision-making-status-and-514kgkxjm3","2015","Proceedings Article","International Conference on Machine Learning and Cybernetics","Shahid Ali
Sreenivas Sremath Tirumala
Abdolhossein Sarrafzadeh","10.1109/ICMLC.2015.7340924","https://scispace.com/pdf/ensemble-learning-methods-for-decision-making-status-and-514kgkxjm3.pdf","In real world situations every model has some weaknesses and will make errors on training data. Given the fact that each model has certain limitations, the aim of ensemble learning is to supervise their strengths and weaknesses, leading to best possible decision in general. Ensemble based machine learning is a solution of minimizing risk in decision making. Bagging, boosting, stacked generalization and mixture of expert methods are the most popular techniques to construct ensemble systems. For the purpose of combining outputs of class labels, weighted majority voting, behaviour knowledge space and border count methods are used to construct independent classifiers and to achieve diversity among the classifiers which is important in ensemble learning. It was found that an ideal ensemble method should work on the principal of achieving six paramount characteristics of ensemble learning; accuracy, scalability, computational cost, usability, compactness and speed of classification. In addition, the ideal ensemble method would be able to handle large huge image size and long term historical data particularly of spatial and temporal. In this paper we reveal that ensemble models have obtained high acceptability in terms of accuracy than single models. Further, we present an analogy of various ensemble techniques, their applicability, measuring the solution diversity, challenges and proposed methods to overcome these challenges without diverting from the original concepts.","It is revealed that ensemble models have obtained high acceptability in terms of accuracy than single models and proposed methods to overcome these challenges without diverting from the original concepts are presented."
"Neural Network Ensembles: Theory, Training, and the Importance of Explicit Diversity","https://scispace.com/paper/neural-network-ensembles-theory-training-and-the-importance-2zmuypq65h8w","","","","Wenjing Li
Randy C. Paffenroth
David Berthiaume","10.48550/arxiv.2109.14117","","Ensemble learning is a process by which multiple base learners are strategically generated and combined into one composite learner. There are two features that are essential to an ensemble's performance, the individual accuracies of the component learners and the overall diversity in the ensemble. The right balance of learner accuracy and ensemble diversity can improve the performance of machine learning tasks on benchmark and real-world data sets, and recent theoretical and practical work has demonstrated the subtle trade-off between accuracy and diversity in an ensemble. In this paper, we extend the extant literature by providing a deeper theoretical understanding for assessing and improving the optimality of any given ensemble, including random forests and deep neural network ensembles. We also propose a training algorithm for neural network ensembles and demonstrate that our approach provides improved performance when compared to both state-of-the-art individual learners and ensembles of state-of-the-art learners trained using standard loss functions. Our key insight is that it is better to explicitly encourage diversity in an ensemble, rather than merely allowing diversity to occur by happenstance, and that rigorous theoretical bounds on the trade-off between diversity and learner accuracy allow one to know when an optimal arrangement has been achieved.","This paper explores neural network ensembles, emphasizing the importance of explicit diversity and proposing a training algorithm to improve performance by balancing learner accuracy and ensemble diversity, outperforming state-of-the-art individual learners and ensembles."
"Rethinking Fano's Inequality in Ensemble Learning","https://scispace.com/paper/rethinking-fano-s-inequality-in-ensemble-learning-2pptu5zk","2022","Proceedings Article","International Conference on Machine Learning","Terufumi Morishita
Gaku Morio
Shota Horiguchi
Hiroaki Ozaki
Nobuo Nukaga","10.48550/arXiv.2205.12683","https://scispace.compdf/rethinking-fano-s-inequality-in-ensemble-learning-2pptu5zk.pdf","We propose a fundamental theory on ensemble learning that evaluates a given ensemble system by a well-grounded set of metrics. Previous studies used a variant of Fano's inequality of information theory and derived a lower bound of the classification error rate on the basis of the accuracy and diversity of models. We revisit the original Fano's inequality and argue that the studies did not take into account the information lost when multiple model predictions are combined into a final prediction. To address this issue, we generalize the previous theory to incorporate the information loss. Further, we empirically validate and demonstrate the proposed theory through extensive experiments on actual systems. The theory reveals the strengths and weaknesses of systems on each metric, which will push the theoretical understanding of ensemble learning and give us insights into designing systems.","In this paper , the authors revisited the original Fano's inequality and argued that the studies did not take into account the information lost when multiple model predictions are combined into a final prediction."
"Rethinking Fano's Inequality in Ensemble Learning","https://scispace.com/paper/rethinking-fano-s-inequality-in-ensemble-learning-28z8ldym","2022","Posted Content","","","10.48550/arxiv.2205.12683","https://scispace.com/pdf/rethinking-fano-s-inequality-in-ensemble-learning-28z8ldym.pdf","We propose a fundamental theory on ensemble learning that evaluates a given ensemble system by a well-grounded set of metrics. Previous studies used a variant of Fano's inequality of information theory and derived a lower bound of the classification error rate on the basis of the accuracy and diversity of models. We revisit the original Fano's inequality and argue that the studies did not take into account the information lost when multiple model predictions are combined into a final prediction. To address this issue, we generalize the previous theory to incorporate the information loss. Further, we empirically validate and demonstrate the proposed theory through extensive experiments on actual systems. The theory reveals the strengths and weaknesses of systems on each metric, which will push the theoretical understanding of ensemble learning and give us insights into designing systems. ","In this article , the authors revisited the original Fano's inequality and argued that the studies did not take into account the information lost when multiple model predictions are combined into a final prediction."
"Collective Iterative Learning Control: Exploiting Diversity in Multi-Agent Systems for Reference Tracking Tasks","https://scispace.com/paper/collective-iterative-learning-control-exploiting-diversity-3ll089o0","2022","Journal Article","","","10.1109/tcst.2021.3109646","http://arxiv.org/pdf/2104.07620","Multi-agent systems (MASs) can autonomously learn to solve previously unknown tasks by means of each agent's individual intelligence as well as by collaborating and exploiting collective intelligence. This article considers a group of autonomous agents learning to track the same given reference trajectory in a possibly small number of trials. We propose a novel collective learning control method that combines iterative learning control (ILC) with a collective update strategy. We derive conditions for desirable convergence properties of such systems. We show that the proposed method allows the collective to combine the advantages of the agents' individual learning strategies and thereby overcomes trade-offs and limitations of single-agent ILC. This benefit is achieved by designing a heterogeneous collective, i.e., a different learning law is assigned to each agent. All theoretical results are confirmed in simulations and experiments with two-wheeled-inverted-pendulum robots (TWIPRs) that jointly learn to perform the desired maneuver. ","In this article , a collective learning control method that combines iterative learning control (ILC) with a collective update strategy is proposed to solve previously unknown tasks by means of each agent's individual intelligence and by collaborating and exploiting collective intelligence."
"Adaptive Multi-Layer Ensemble Learning (AMEL) for Robust and Accurate Predictive Modelling in Big Data Analytics","https://scispace.com/paper/adaptive-multi-layer-ensemble-learning-amel-for-robust-and-7nn6sdy1xp3v","2024","Journal Article","","P. Saminathan","10.1109/icicec62498.2024.10808711","","The rapid expansion of data in various domains necessitates advanced analytics techniques to derive meaningful insights and make informed decisions. This paper presents a novel approach named Adaptive Multi-Layer Ensemble Learning (AMEL) for improving the accuracy and robustness of predictive models in big data analytics. AMEL leverages a multi-layer architecture that dynamically integrates diverse machine learning algorithms through adaptive weighting mechanisms to address issues of model bias and variance. Our approach is evaluated on three large-scale datasets from healthcare, finance, and social media domains. The experimental results demonstrate that AMEL achieves a 5-10% improvement in prediction accuracy compared to traditional ensemble methods such as Bagging and Boosting. Furthermore, AMEL exhibits enhanced stability and robustness in the presence of noisy and imbalanced data, as evidenced by a 15% reduction in prediction variance and a 20% improvement in F1 scores on average across the datasets. The proposed AMEL framework not only advances the state-of-the-art in ensemble learning but also provides a scalable and adaptable solution for complex data analytics tasks. These findings underscore the potential of AMEL to significantly improve decision-making processes in various high-impact sectors.","This paper introduces Adaptive Multi-Layer Ensemble Learning (AMEL), a novel approach that improves predictive model accuracy and robustness in big data analytics by dynamically integrating diverse machine learning algorithms through adaptive weighting mechanisms."
"Balancing Selection and Diversity in Ensemble Learning with Exponential Mixture Model","https://scispace.com/paper/balancing-selection-and-diversity-in-ensemble-learning-with-3wd3am41vs","2023","Book Chapter","Lecture Notes in Computer Science","Kenichi Sugiyama
Masato Uchida","10.1007/978-3-031-44213-1_26","","In practical machine learning scenarios, there may be multiple predictors available for the same task. Ensemble learning combines these predictors to obtain a predictor with higher generalization performance. Weighted averaging is one of the most basic methods, which can be generalized by a formulation of an exponential mixture model. In this formulation, the weight optimization in ensemble learning is represented as selecting the predictors to be used by concentrating the weights and maintaining the diversity of the predictors to be used by distributing the weights. It has been theoretically shown that if the balance between these two factors is adjusted to be equal, the generalization performance improves. However, having an equal balance may not always be optimal, as there could be better alternatives. In this paper, we propose a method to obtain a predictor with higher generalization performance by adjusting the balance between selecting predictors and maintaining their diversity. Numerical experiments showed that when there is a large amount of training data and an unbiased label distribution, adjusting the balance can result in improved generalization performance. ","Balancing selection and diversity in ensemble learning with exponential mixture model improves generalization performance."
"Mixture of Experts with Uncertainty Voting for Imbalanced Deep Regression Problems","https://scispace.com/paper/mixture-of-experts-with-uncertainty-voting-for-imbalanced-1uns67x0","2023","Journal Article","arXiv.org","Yuchang Jiang
Vivien Sainte Fare Garnot
Konrad Schindler
Jan Dirk Wegner","10.48550/arXiv.2305.15178","https://scispace.compdf/mixture-of-experts-with-uncertainty-voting-for-imbalanced-1uns67x0.pdf","Data imbalance is ubiquitous when applying machine learning to real-world problems, particularly regression problems. If training data are imbalanced, the learning is dominated by the densely covered regions of the target distribution, consequently, the learned regressor tends to exhibit poor performance in sparsely covered regions. Beyond standard measures like over-sampling or re-weighting, there are two main directions to handle learning from imbalanced data. For regression, recent work relies on the continuity of the distribution; whereas for classification there has been a trend to employ mixture-of-expert models and let some ensemble members specialize in predictions for the sparser regions. Here, we adapt the mixture-of-experts approach to the regression setting. A main question when using this approach is how to fuse the predictions from multiple experts into one output. Drawing inspiration from recent work on probabilistic deep learning, we propose to base the fusion on the aleatoric uncertainties of individual experts, thus obviating the need for a separate aggregation module. In our method, dubbed MOUV, each expert predicts not only an output value but also its uncertainty, which in turn serves as a statistically motivated criterion to rely on the right experts. We compare our method with existing alternatives on multiple public benchmarks and show that MOUV consistently outperforms the prior art, while at the same time producing better calibrated uncertainty estimates. Our code is available at link-upon-publication.","In this paper , the aleatoric uncertainties of individual experts are used to fuse the predictions from multiple experts into one output, thus obviating the need for a separate aggregation module."
"Deep Neural Network Ensembles against Deception: Ensemble Diversity, Accuracy and Robustness","https://scispace.com/paper/deep-neural-network-ensembles-against-deception-ensemble-3bnhgk6e8w","2019","Posted Content","arXiv: Learning","Ling Liu
Wenqi Wei
Ka-Ho Chow
Margaret Loper
Emre Gursoy
Stacey Truex
Yanzhao Wu","","https://arxiv.org/pdf/1908.11091","Ensemble learning is a methodology that integrates multiple DNN learners for improving prediction performance of individual learners. Diversity is greater when the errors of the ensemble prediction is more uniformly distributed. Greater diversity is highly correlated with the increase in ensemble accuracy. Another attractive property of diversity optimized ensemble learning is its robustness against deception: an adversarial perturbation attack can mislead one DNN model to misclassify but may not fool other ensemble DNN members consistently. In this paper we first give an overview of the concept of ensemble diversity and examine the three types of ensemble diversity in the context of DNN classifiers. We then describe a set of ensemble diversity measures, a suite of algorithms for creating diversity ensembles and for performing ensemble consensus (voted or learned) for generating high accuracy ensemble output by strategically combining outputs of individual members. This paper concludes with a discussion on a set of open issues in quantifying ensemble diversity for robust deep learning.","The concept of ensemble diversity is introduced in this article, which is a methodology that integrates multiple DNN learners for improving prediction performance of individual learners, and diversity is greater when the errors of the ensemble prediction is more uniformly distributed."
"Diversity and Generalization in Neural Network Ensembles","https://scispace.com/paper/diversity-and-generalization-in-neural-network-ensembles-3xi95qtntr","2021","Posted Content","arXiv: Learning","Luis A. Ortega
Rafael Cabañas
Andrés R. Masegosa","","http://arxiv.org/pdf/2110.13786.pdf","Ensembles are widely used in machine learning and, usually, provide state-of-the-art performance in many prediction tasks. From the very beginning, the diversity of an ensemble has been identified as a key factor for the superior performance of these models. But the exact role that diversity plays in ensemble models is poorly understood, specially in the context of neural networks. In this work, we combine and expand previously published results in a theoretically sound framework that describes the relationship between diversity and ensemble performance for a wide range of ensemble methods. More precisely, we provide sound answers to the following questions: how to measure diversity, how diversity relates to the generalization error of an ensemble, and how diversity is promoted by neural network ensemble algorithms. This analysis covers three widely used loss functions, namely, the squared loss, the cross-entropy loss, and the 0-1 loss; and two widely used model combination strategies, namely, model averaging and weighted majority vote. We empirically validate this theoretical analysis with neural network ensembles.","In this article, the authors combine and expand previously published results in a theoretically sound framework that describes the relationship between diversity and ensemble performance for a wide range of ensemble methods and provide sound answers to the following questions: how to measure diversity, how diversity relates to the generalization error of an ensemble, and how diversity is promoted by neural network ensemble algorithms."
"Exploring Model Learning Heterogeneity for Boosting Ensemble Robustness","https://scispace.com/paper/exploring-model-learning-heterogeneity-for-boosting-ensemble-47zrfsorcp","2023","Journal Article","","Yanzhao Wu
Ka-Ho Chow
Wuchang Wei
Линг Лиу","10.1109/icdm58522.2023.00074","","Deep neural network ensembles hold the potential of improving generalization performance for complex learning tasks. This paper presents formal analysis and empirical evaluation to show that heterogeneous deep ensembles with high ensemble diversity can effectively leverage model learning heterogeneity to boost ensemble robustness. We first show that heterogeneous DNN models trained for solving the same learning problem, e.g., object detection, can significantly strengthen the mean average precision (mAP) through our weighted bounding box ensemble consensus method. Second, we further compose ensembles of heterogeneous models for solving different learning problems, e.g., object detection and semantic segmentation, by introducing the connected component labeling (CCL) based alignment. We show that this two-tier heterogeneity driven ensemble construction method can compose an ensemble team that promotes high ensemble diversity and low negative correlation among member models of the ensemble, strengthening ensemble robustness against both negative examples and adversarial attacks. Third, we provide a formal analysis of the ensemble robustness in terms of negative correlation. Extensive experiments validate the enhanced robustness of heterogeneous ensembles in both benign and adversarial settings. The appendix and source codes are available on GitHub at https://github.com/git-disl/HeteRobust. ","Heterogeneous deep ensembles with high ensemble diversity can effectively leverage model learning heterogeneity to boost ensemble robustness against negative examples and adversarial attacks."
