"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Agents in software engineering: Survey, landscape, and vision","https://scispace.com/paper/agents-in-software-engineering-survey-landscape-and-vision-olqq19h52l9g","2024","Journal Article","","Yanlin Wang
Wanjun Zhong
Yanxian Huang
Ensheng Shi
Min Yang
Jiachi Chen
Huijun Li
Yuchi Ma
Qianxiang Wang
Zibin Zheng","10.48550/arxiv.2409.09030","https://arxiv.org/pdf/2409.09030?","… In recent years, Large Language Models (LLMs) have … The multi-agent collaboration process requires a large amount … Language Models to generate CoTs for code generation …","In recent years, Large Language Models (LLMs) have achieved remarkable success and have been widely used in various downstream tasks, especially in the tasks of the software engineering (SE) field. We find that many studies combining LLMs with SE have employed the concept of agents either explicitly or implicitly. However, there is a lack of an in-depth survey to sort out the development context of existing works, analyze how existing works combine the LLM-based agent technologies to optimize various tasks, and clarify the framework of LLM-based agents in SE. In this paper, we conduct the first survey of the studies on combining LLM-based agents with SE and present a framework of LLM-based agents in SE which includes three key modules: perception, memory, and action. We also summarize the current challenges in combining the two fields and propose future opportunities in response to existing challenges. We maintain a GitHub repository of the related papers at: https://github.com/DeepSoftwareAnalytics/Awesome-Agent4SE. "
"Diversity empowers intelligence: Integrating expertise of software engineering agents","https://scispace.com/paper/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd","2024","Journal Article","","Kexun Zhang
Weiran Yao
Zuxin Liu
Yihao Feng
Zhi‐Wei Liu
Rithesh Murthy
Tian Lan
Lei Li
Renze Lou
Jiacheng Xu
Pang Bo
Yingbo Zhou
Shelby Heinecke
Silvio Savarese
Huan Wang
Caiming Xiong","10.48550/arxiv.2408.07060","https://arxiv.org/pdf/2408.07060?","… growing body of research on collaborative AI systems and … in large language models (LLMs) have transformed software … evaluation is easier than generation. DEIBASE thus serves as …","Large language model (LLM) agents have shown great potential in solving real-world software engineering (SWE) problems. The most advanced open-source SWE agent can resolve over 27% of real GitHub issues in SWE-Bench Lite. However, these sophisticated agent frameworks exhibit varying strengths, excelling in certain tasks while underperforming in others. To fully harness the diversity of these agents, we propose DEI (Diversity Empowered Intelligence), a framework that leverages their unique expertise. DEI functions as a meta-module atop existing SWE agent frameworks, managing agent collectives for enhanced problem-solving. Experimental results show that a DEI-guided committee of agents is able to surpass the best individual agent's performance by a large margin. For instance, a group of open-source SWE agents, with a maximum individual resolve rate of 27.3% on SWE-Bench Lite, can achieve a 34.3% resolve rate with DEI, making a 25% improvement and beating most closed-source solutions. Our best-performing group excels with a 55% resolve rate, securing the highest ranking on SWE-Bench Lite. Our findings contribute to the growing body of research on collaborative AI systems and their potential to solve complex software engineering challenges. "
"Large language model agent: A survey on methodology, applications and challenges","https://scispace.com/paper/large-language-model-agent-a-survey-on-methodology-v2xrqrrlb0ml","2025","Journal Article","arXiv.org","Junyu Luo
Weizhi Zhang
Ye Yuan
Yusheng Zhao
Junwei Yang
Yiyang Gu
Bohan Wu
Binqi Chen
Ziyue Qiao
Qingqing Long
Rongcheng Tu
Xiaoming Luo
Wei Ju
Zhiping Xiao
Yifan Wang
Mengxue Xiao
Chenwu Liu
Jingyang Yuan
Shichang Zhang
Yiqiao Jin
Fan Zhang
Xianhong Wu
Hanqing Zhao
Dacheng Tao
Philip S. Yu
Ming Zhang","10.48550/arxiv.2503.21460","https://arxiv.org/pdf/2503.21460?","… by revolutionary advancements in large language models. … 14 domains), complement static datasets and standardize tool … LLM-driven multi-agent systems to scientific research over the …",""
"Exploring large language model based intelligent agents: Definitions, methods, and prospects","https://scispace.com/paper/exploring-large-language-model-based-intelligent-agents-4q4jcs8sjq","2024","Journal Article","arXiv.org","Yuheng Cheng
Ceyao Zhang
Zhengwen Zhang
Xiangrui Meng
Sirui Hong
Wenhao Li
Zihao Wang
Zekai Wang
Feng Yin
Junhua Zhao
Xiuqiang He","10.48550/arxiv.2401.03428","https://arxiv.org/pdf/2401.03428","… from recent progress in large language models (LLMs), LLM-… single-agent and multi-agent systems. It covers their definitions, … It can be posited that no supplementary training is requisite …","Intelligent agents stand out as a potential path toward artificial general intelligence (AGI). Thus, researchers have dedicated significant effort to diverse implementations for them. Benefiting from recent progress in large language models (LLMs), LLM-based agents that use universal natural language as an interface exhibit robust generalization capabilities across various applications -- from serving as autonomous general-purpose task assistants to applications in coding, social, and economic domains, LLM-based agents offer extensive exploration opportunities. This paper surveys current research to provide an in-depth overview of LLM-based intelligent agents within single-agent and multi-agent systems. It covers their definitions, research frameworks, and foundational components such as their composition, cognitive and planning methods, tool utilization, and responses to environmental feedback. We also delve into the mechanisms of deploying LLM-based agents in multi-agent systems, including multi-role collaboration, message passing, and strategies to alleviate communication issues between agents. The discussions also shed light on popular datasets and application scenarios. We conclude by envisioning prospects for LLM-based agents, considering the evolving landscape of AI and natural language processing."
"Computational experiments meet large language model based agents: A survey and perspective","https://scispace.com/paper/computational-experiments-meet-large-language-model-based-3gsp2b7g9r","2024","Journal Article","arXiv.org","Qun Ma
Xiao Xue
Deyu Zhou
Xiangning Yu
Donghua Liu
Xuwen Zhang
Zihan Zhao
Yifan Shen
Peilin Ji
Juanjuan Li
Gang Wang
Wanpeng Ma","10.48550/arxiv.2402.00262","https://arxiv.org/pdf/2402.00262","… , the integration of Large Language Models (LLMs) has been … Language to interact, including collaborative development of … with LLM-based Agent to complement each other. This can …","Computational experiments have emerged as a valuable method for studying complex systems, involving the algorithmization of counterfactuals. However, accurately representing real social systems in Agent-based Modeling (ABM) is challenging due to the diverse and intricate characteristics of humans, including bounded rationality and heterogeneity. To address this limitation, the integration of Large Language Models (LLMs) has been proposed, enabling agents to possess anthropomorphic abilities such as complex reasoning and autonomous learning. These agents, known as LLM-based Agent, offer the potential to enhance the anthropomorphism lacking in ABM. Nonetheless, the absence of explicit explainability in LLMs significantly hinders their application in the social sciences. Conversely, computational experiments excel in providing causal analysis of individual behaviors and complex phenomena. Thus, combining computational experiments with LLM-based Agent holds substantial research potential. This paper aims to present a comprehensive exploration of this fusion. Primarily, it outlines the historical development of agent structures and their evolution into artificial societies, emphasizing their importance in computational experiments. Then it elucidates the advantages that computational experiments and LLM-based Agents offer each other, considering the perspectives of LLM-based Agent for computational experiments and vice versa. Finally, this paper addresses the challenges and future trends in this research domain, offering guidance for subsequent related studies."
"A survey on code generation with llm-based agents","https://scispace.com/paper/a-survey-on-code-generation-with-llm-based-agents-ud6w79v0z4mv","2025","Journal Article","arXiv.org","Yihong Dong
Xue Jiang
Jiaru Qian
Tian Wang
Kechi Zhang
Zhi Jin
Ge Li","10.48550/arxiv.2508.00083","https://arxiv.org/pdf/2508.00083?","… generation agents powered by large language models (LLMs… agents (covering both single-agent and multi-agent systems)… three complementary evaluation dimensions to study how …","Code generation agents powered by large language models (LLMs) are revolutionizing the software development paradigm. Distinct from previous code generation techniques, code generation agents are characterized by three core features. 1) Autonomy: the ability to independently manage the entire workflow, from task decomposition to coding and debugging. 2) Expanded task scope: capabilities that extend beyond generating code snippets to encompass the full software development lifecycle (SDLC). 3) Enhancement of engineering practicality: a shift in research emphasis from algorithmic innovation toward practical engineering challenges, such as system reliability, process management, and tool integration. This domain has recently witnessed rapid development and an explosion in research, demonstrating significant application potential. This paper presents a systematic survey of the field of LLM-based code generation agents. We trace the technology's developmental trajectory from its inception and systematically categorize its core techniques, including both single-agent and multi-agent architectures. Furthermore, this survey details the applications of LLM-based agents across the full SDLC, summarizes mainstream evaluation benchmarks and metrics, and catalogs representative tools. Finally, by analyzing the primary challenges, we identify and propose several foundational, long-term research directions for the future work of the field."
"Trae agent: An llm-based agent for software engineering with test-time scaling","https://scispace.com/paper/wNl-NIdTw1wJ","","","","Y Xiong
C Peng
X Liu
Trae Research Team","","https://arxiv.org/pdf/2507.23370?","… the rapid advancement of large language models (LLMs), … complementary strengths. This integration is expected to increase the diversity of candidates, thereby improving the ensemble …",""
"A survey of large language models for code: Evolution, benchmarking, and future trends","https://scispace.com/paper/a-survey-of-large-language-models-for-code-evolution-271s255nqo","2023","Journal Article","arXiv.org","Zibin Zheng
Kaiwen Ning
Yanlin Wang
Jingwen Zhang
Dewu Zheng
Mingxi Ye
Jiachi Chen","10.48550/arxiv.2311.10372","https://arxiv.org/pdf/2311.10372","… large-scale pre-trained language models for code generation. … LLMs and complements the capabilities of existing Code … scientific collaborative effort dedicated to developing large code …","General large language models (LLMs), represented by ChatGPT, have demonstrated significant potential in tasks such as code generation in software engineering. This has led to the development of specialized LLMs for software engineering, known as Code LLMs. A considerable portion of Code LLMs is derived from general LLMs through model fine-tuning. As a result, Code LLMs are often updated frequently and their performance can be influenced by the base LLMs. However, there is currently a lack of systematic investigation into Code LLMs and their performance. In this study, we conduct a comprehensive survey and analysis of the types of Code LLMs and their differences in performance compared to general LLMs. We aim to address three questions: (1) What LLMs are specifically designed for software engineering tasks, and what is the relationship between these Code LLMs? (2) Do Code LLMs really outperform general LLMs in software engineering tasks? (3) Which LLMs are more proficient in different software engineering tasks? To answer these questions, we first collect relevant literature and work from five major databases and open-source communities, resulting in 134 works for analysis. Next, we categorize the Code LLMs based on their publishers and examine their relationships with general LLMs and among themselves. Furthermore, we investigate the performance differences between general LLMs and Code LLMs in various software engineering tasks to demonstrate the impact of base models and Code LLMs. Finally, we comprehensively maintained the performance of LLMs across multiple mainstream benchmarks to identify the best-performing LLMs for each software engineering task. Our research not only assists developers of Code LLMs in choosing base models for the development of more advanced LLMs but also provides insights for practitioners to better understand key improvement directions for Code LLMs."
"Large language models empowered agent-based modeling and simulation: A survey and perspectives","https://scispace.com/paper/large-language-models-empowered-agent-based-modeling-and-2alj1dx3i6","2023","Journal Article","arXiv.org","Chen Gao
Xiaochong Lan
Nian Li
Yuan Yuan
Jingtao Ding
Zhi Zhou
Fengli Xu
Yong Li","10.48550/arxiv.2312.11970","https://www.nature.com/articles/s41599-024-03611-3.pdf","… template and add more supplementary descriptions to construct … possess a powerful capability to simulate heterogeneous … social dynamics, enhancing collaborative problem-solving, etc.…","Agent-based modeling and simulation has evolved as a powerful tool for modeling complex systems, offering insights into emergent behaviors and interactions among diverse agents. Integrating large language models into agent-based modeling and simulation presents a promising avenue for enhancing simulation capabilities. This paper surveys the landscape of utilizing large language models in agent-based modeling and simulation, examining their challenges and promising future directions. In this survey, since this is an interdisciplinary field, we first introduce the background of agent-based modeling and simulation and large language model-empowered agents. We then discuss the motivation for applying large language models to agent-based simulation and systematically analyze the challenges in environment perception, human alignment, action generation, and evaluation. Most importantly, we provide a comprehensive overview of the recent works of large language model-empowered agent-based modeling and simulation in multiple scenarios, which can be divided into four domains: cyber, physical, social, and hybrid, covering simulation of both real-world and virtual environments. Finally, since this area is new and quickly evolving, we discuss the open problems and promising future directions."
"Self-evolving multi-agent collaboration networks for software development","https://scispace.com/paper/self-evolving-multi-agent-collaboration-networks-for-3eouucz3wlh0","2024","Journal Article","","Hu Yue
Yuanfang Cai
Yi Du
Xinyu Zhu
Xiaowei Liu
Zhiqiang Yu
Y. Thomas Hou
Shuo Tang
Sixuan CHEN","10.48550/arxiv.2410.16946","https://arxiv.org/pdf/2410.16946?","… Given the diversity of real-world coding tasks, human design … agent as context, providing supplementary details to aid in … Swe-bench: Can language models resolve real-world github …","LLM-driven multi-agent collaboration (MAC) systems have demonstrated impressive capabilities in automatic software development at the function level. However, their heavy reliance on human design limits their adaptability to the diverse demands of real-world software development. To address this limitation, we introduce EvoMAC, a novel self-evolving paradigm for MAC networks. Inspired by traditional neural network training, EvoMAC obtains text-based environmental feedback by verifying the MAC network's output against a target proxy and leverages a novel textual backpropagation to update the network. To extend coding capabilities beyond function-level tasks to more challenging software-level development, we further propose rSDE-Bench, a requirement-oriented software development benchmark, which features complex and diverse software requirements along with automatic evaluation of requirement correctness. Our experiments show that: i) The automatic requirement-aware evaluation in rSDE-Bench closely aligns with human evaluations, validating its reliability as a software-level coding benchmark. ii) EvoMAC outperforms previous SOTA methods on both the software-level rSDE-Bench and the function-level HumanEval benchmarks, reflecting its superior coding capabilities. The benchmark can be downloaded at https://yuzhu-cai.github.io/rSDE-Bench/. "
